NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
"afw-hub-weu","Firewall","rg-hub-weu","West Europe","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-hub-weu/providers/Microsoft.Network/azureFirewalls/afw-hub-weu"
"afwp-hub-weu","Firewall Policy","rg-hub-weu","West Europe","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-hub-weu/providers/Microsoft.Network/firewallPolicies/afwp-hub-weu"
"ag-infra-alerts","Action group","rg-shared-weu","Global","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-shared-weu/providers/Microsoft.Insights/actiongroups/ag-infra-alerts"
"alert-vm-cpu-high","Metric alert rule","rg-shared-weu","Global","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-shared-weu/providers/Microsoft.Insights/metricalerts/alert-vm-cpu-high"
"alert-vm-disk-high","Metric alert rule","rg-shared-weu","Global","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-shared-weu/providers/Microsoft.Insights/metricalerts/alert-vm-disk-high"
"alert-vm-memory-low","Metric alert rule","rg-shared-weu","Global","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-shared-weu/providers/Microsoft.Insights/metricalerts/alert-vm-memory-low"
"bas-hub-weu","Bastion","rg-hub-weu","West Europe","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-hub-weu/providers/Microsoft.Network/bastionHosts/bas-hub-weu"
"kv-alz-dev-001","Key vault","rg-shared-weu","West Europe","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-shared-weu/providers/Microsoft.KeyVault/vaults/kv-alz-dev-001"
"log-alz-dev","Log Analytics workspace","rg-shared-weu","West Europe","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-shared-weu/providers/Microsoft.OperationalInsights/workspaces/log-alz-dev"
"log-alz-prod","Log Analytics workspace","rg-shared-weu","West Europe","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-shared-weu/providers/Microsoft.OperationalInsights/workspaces/log-alz-prod"
"NetworkWatcher_westeurope","Network Watcher","NetworkWatcherRG","West Europe","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_westeurope"
"nic-vm-jump-hub-001","Network Interface","rg-hub-weu","West Europe","Azure subscription 1","https://portal.azure.com#resource/subscriptions/11d9e431-9350-48cd-bbc7-5c41764f340e/resourceGroups/rg-hub-weu/providers/Microsoft.Network/networkInterfaces/nic-vm-jump-hub-001"
