"NSGName","ResourceGroup","RuleName","Priority","Direction","Access","Protocol","SourceAddress","SourcePortRange","DestinationAddress","DestinationPort","RuleType"
"nsg-management-hub","rg-hub-weu","AllowBastionRDP","100","Inbound","Allow","Tcp","10.0.2.0/26","*","10.0.3.0/24","3389","Custom"
"nsg-management-hub","rg-hub-weu","AllowBastionSSH","110","Inbound","Allow","Tcp","10.0.2.0/26","*","10.0.3.0/24","22","Custom"
"nsg-management-hub","rg-hub-weu","DenyAllInbound","4096","Inbound","Deny","*","*","*","*","*","Custom"
"nsg-management-hub","rg-hub-weu","AllowVnetInBound","65000","Inbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-management-hub","rg-hub-weu","AllowAzureLoadBalancerInBound","65001","Inbound","Allow","*","AzureLoadBalancer","*","*","*","Default"
"nsg-management-hub","rg-hub-weu","DenyAllInBound","65500","Inbound","Deny","*","*","*","*","*","Default"
"nsg-management-hub","rg-hub-weu","AllowVnetOutBound","65000","Outbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-management-hub","rg-hub-weu","AllowInternetOutBound","65001","Outbound","Allow","*","*","*","Internet","*","Default"
"nsg-management-hub","rg-hub-weu","DenyAllOutBound","65500","Outbound","Deny","*","*","*","*","*","Default"
"nsg-app-dev","rg-spoke-dev-weu","AllowFromWebSubnet","100","Inbound","Allow","Tcp","10.2.1.0/24","*","10.2.2.0/24","443","Custom"
"nsg-app-dev","rg-spoke-dev-weu","DenyAllInbound","4096","Inbound","Deny","*","*","*","*","*","Custom"
"nsg-app-dev","rg-spoke-dev-weu","AllowVnetInBound","65000","Inbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-app-dev","rg-spoke-dev-weu","AllowAzureLoadBalancerInBound","65001","Inbound","Allow","*","AzureLoadBalancer","*","*","*","Default"
"nsg-app-dev","rg-spoke-dev-weu","DenyAllInBound","65500","Inbound","Deny","*","*","*","*","*","Default"
"nsg-app-dev","rg-spoke-dev-weu","AllowVnetOutBound","65000","Outbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-app-dev","rg-spoke-dev-weu","AllowInternetOutBound","65001","Outbound","Allow","*","*","*","Internet","*","Default"
"nsg-app-dev","rg-spoke-dev-weu","DenyAllOutBound","65500","Outbound","Deny","*","*","*","*","*","Default"
"nsg-data-dev","rg-spoke-dev-weu","AllowFromAppSubnet","100","Inbound","Allow","Tcp","10.2.2.0/24","*","10.2.3.0/24","1433","Custom"
"nsg-data-dev","rg-spoke-dev-weu","DenyAllInbound","4096","Inbound","Deny","*","*","*","*","*","Custom"
"nsg-data-dev","rg-spoke-dev-weu","AllowVnetInBound","65000","Inbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-data-dev","rg-spoke-dev-weu","AllowAzureLoadBalancerInBound","65001","Inbound","Allow","*","AzureLoadBalancer","*","*","*","Default"
"nsg-data-dev","rg-spoke-dev-weu","DenyAllInBound","65500","Inbound","Deny","*","*","*","*","*","Default"
"nsg-data-dev","rg-spoke-dev-weu","AllowVnetOutBound","65000","Outbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-data-dev","rg-spoke-dev-weu","AllowInternetOutBound","65001","Outbound","Allow","*","*","*","Internet","*","Default"
"nsg-data-dev","rg-spoke-dev-weu","DenyAllOutBound","65500","Outbound","Deny","*","*","*","*","*","Default"
"nsg-web-dev","rg-spoke-dev-weu","AllowHTTPFromFirewall","100","Inbound","Allow","Tcp","10.0.1.0/26","*","10.2.1.0/24","80","Custom"
"nsg-web-dev","rg-spoke-dev-weu","AllowHTTPSFromFirewall","110","Inbound","Allow","Tcp","10.0.1.0/26","*","10.2.1.0/24","443","Custom"
"nsg-web-dev","rg-spoke-dev-weu","DenyAllInbound","4096","Inbound","Deny","*","*","*","*","*","Custom"
"nsg-web-dev","rg-spoke-dev-weu","AllowVnetInBound","65000","Inbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-web-dev","rg-spoke-dev-weu","AllowAzureLoadBalancerInBound","65001","Inbound","Allow","*","AzureLoadBalancer","*","*","*","Default"
"nsg-web-dev","rg-spoke-dev-weu","DenyAllInBound","65500","Inbound","Deny","*","*","*","*","*","Default"
